date,SHEL.L,BNPP.PA,TTEF.PA,Cash,value of the portfolio,return
27-Sep-2024,10,10,10,1000,26594.0,0
27-Sep-2024,9,9,9,3529.8599999999997,26298.6,-0.011107768669624781
26-Sep-2024,10,8,10,1055.5399999999995,26822.6,0.0085959238926073
25-Sep-2024,9,9,11,3456.6099999999997,27405.64,0.030519666090095487
24-Sep-2024,9,10,11,3393.68,27407.0,0.03057080544483718
23-Sep-2024,9,11,11,3331.23,27402.21,0.030390689629239645
