,Company,Net Income Incl Extra Before Distributions,Percentage of Green Products,Date,ESG Period Last Update Date,ESG Score,ESG Controversies Score,Environmental Controversies Count,Human Rights Controversies,Business Ethics Controversies,Wages Working Condition Controversies Count,Controversies Customer Health & Safety,Waste Recycling Ratio,Waste Total,Total Renewable Energy To Energy Use in million,Total Renewable Energy,Environmental Expenditures,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million Score",Estimated CO2 Equivalents Emission Total,Water Use To Revenues USD in million,Environmental Pillar Score,Emissions Score,Environmental Innovation Score,Resource Use Score,Total CO2 Equivalent Emissions To Revenues USD in million,Energy Use Total,Board Meeting Attendance Average,"Board Gender Diversity, Percent",CSR Strategy Score,Management Score,Shareholders Score,ESG Reporting Scope,Board Size,Total Donations To Revenues in million,Product Responsibility Score,Workforce Score,Human Rights Score,Community Score,Women Managers,Gender Pay Gap Percentage,Women Employees,Employees With Disabilities,Policy Diversity and Opportunity Score,Training Hours Total,Average Training Hours
0,POOL.OQ,110692000.0,,2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,POOL.OQ,128275000.0,,2015-12-31,2024-01-19T00:00:00Z,45.8389943389943,100.0,,,,,,,,,,,,37000.2,,2.02297702297702,3.57142857142857,0.0,3.84615384615385,,,75.0,0.0,0.0,86.8566176470588,92.2487745098039,,10.0,,22.5,60.4166666666667,10.7142857142857,64.5833333333333,,,,,68.1818181818182,,
2,POOL.OQ,148955000.0,,2016-12-31,2024-01-19T00:00:00Z,46.6172324054137,100.0,,,,,,,,,,,,44549.1,,11.3368983957219,38.2352941176471,0.0,3.33333333333333,,,75.0,0.0,0.0,84.5776450511945,91.4889078498293,,8.0,,23.0769230769231,56.8965517241379,10.0,67.2413793103448,,,,,66.0,,
3,POOL.OQ,191633000.0,,2017-12-31,2024-01-19T00:00:00Z,40.845245032745,100.0,,,,,,,,,,,,41683.5,,14.5454545454545,50.0,0.0,3.33333333333333,,,75.0,0.0,0.0,57.5377747252747,82.6407967032967,,7.0,,24.0740740740741,67.1875,7.14285714285714,70.3125,,,,,62.5,,
4,POOL.OQ,234461000.0,,2018-12-31,2024-01-19T00:00:00Z,42.1182967118795,100.0,,,,,,,,,,,,24523.8,,11.1570247933884,34.0909090909091,0.0,6.81818181818182,,,75.0,12.5,0.0,75.0166666666667,80.0833333333333,,8.0,,22.0588235294118,41.8918918918919,6.81818181818182,68.9189189189189,,,,,56.7567567567568,,
5,POOL.OQ,261575000.0,,2019-12-31,2024-01-19T00:00:00Z,45.776613719379,100.0,,,,,,,,,,,,36745.3,,11.9354838709677,37.0967741935484,0.0,6.66666666666667,,,75.0,11.1111111111111,0.0,99.6017840076457,86.7633004141446,,9.0,,14.8648648648649,44.8717948717949,5.17241379310345,57.6923076923077,,,,,56.4102564102564,,
6,POOL.OQ,366738000.0,,2020-12-31,2024-01-19T00:00:00Z,45.1190533548034,100.0,,,,,,,,,,,,36790.4,,10.4473718533977,35.3658536585366,0.0,2.94117647058824,,,75.0,11.1111111111111,0.0,98.5036275695284,88.7998790810157,,9.0,,16.6666666666667,31.5217391304348,4.16666666666667,59.7826086956522,,,,,51.0869565217391,,
7,POOL.OQ,650624000.0,,2021-12-31,2024-01-19T00:00:00Z,48.7463478459598,100.0,,,,,,,,,,,,32767.3,,14.2045454545455,43.3333333333333,0.0,8.75,,,75.0,22.2222222222222,0.0,99.0031782721757,89.2083212944236,,9.0,,15.3061224489796,39.0,36.25,57.0,,,,,51.0,,
8,POOL.OQ,748462000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,POOL.OQ,523229000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CHRW.OQ,449711000.0,,2014-12-31,2022-08-10T00:00:00Z,20.8127232167811,100.0,,,,,,,,,,,,4156020.0,,2.02819902864506,3.38983050847458,0.0,2.63157894736842,,,75.0,30.0,0.0,12.4360286591607,29.0174002047083,,10.0,,68.6274509803922,23.015873015873,0.0,84.1269841269841,,,,,67.1875,,
11,CHRW.OQ,509699000.0,,2015-12-31,2022-08-11T00:00:00Z,29.4783587928558,100.0,,,,,,,,,,,,4258430.0,,8.84831793413883,20.7142857142857,0.0,4.47761194029851,,,75.0,33.3333333333333,0.0,15.594362745098,26.4399509803922,,9.0,158.764296809073,74.6268656716418,61.5853658536585,0.0,90.8536585365854,34.28,,43.28,1.19,64.1975308641975,,
